year,month,day,hour,minute,second,lat(deg),lon(deg),depth(km),x(m),y(m),z(m),magnitude
2014,06,01,08,37,19.220,37.659810,-118.848608,6.574,240.0,460.0,583.0,0.28
2014,06,01,08,41,39.800,37.659981,-118.848348,6.601,262.5,479.0,610.0,-0.46
2014,06,01,09,35,10.780,37.659884,-118.848633,6.597,237.6,468.2,606.1,-0.47
2014,06,01,10,18,52.640,37.658793,-118.848600,6.605,240.3,347.3,613.7,0.01
2014,06,01,10,25,35.330,37.627185,-118.827498,9.686,2103.3,-3160.9,3694.8,0.40
2014,06,01,10,55,04.940,37.661011,-118.848560,6.444,243.9,593.6,452.9,-0.52
2014,06,01,12,47,34.430,37.659379,-118.848356,6.288,262.3,412.3,297.1,0.17
2014,06,01,12,59,41.120,37.659127,-118.848193,6.277,276.3,384.3,285.7,0.26
2014,06,01,13,00,03.550,37.659249,-118.848096,6.271,285.2,398.0,279.9,-0.42
2014,06,01,13,02,15.940,37.659416,-118.848381,6.289,259.9,416.2,298.1,0.87
2014,06,01,13,06,16.590,37.659245,-118.848169,6.289,278.4,397.6,298.2,-0.20
2014,06,01,13,20,54.840,37.656478,-118.848698,6.143,232.0,90.4,151.8,-0.26
2014,06,01,14,17,57.920,37.659399,-118.848291,6.297,267.8,414.7,305.9,-0.37
2014,06,01,14,28,21.020,37.659599,-118.848356,6.290,262.0,436.8,298.7,0.58
2014,06,01,15,38,28.930,37.658297,-118.849015,6.081,203.9,292.2,90.1,1.96
2014,06,01,15,39,42.530,37.658610,-118.848983,6.083,207.0,326.9,91.8,0.59
2014,06,01,15,40,03.480,37.658374,-118.849056,6.057,200.3,300.8,65.7,-0.56
2014,06,01,15,40,58.590,37.658553,-118.849015,6.067,204.3,320.5,76.3,0.46
2014,06,01,16,04,55.320,37.658492,-118.848844,6.065,219.2,314.0,74.0,-0.58
2014,06,01,16,09,09.980,37.658374,-118.848926,6.022,211.7,300.8,30.9,0.24
2014,06,01,16,28,14.770,37.659310,-118.848381,6.304,259.6,404.7,312.5,-0.23
2014,06,01,16,46,22.750,37.658350,-118.848796,6.046,223.1,298.1,54.7,-0.30
2014,06,01,16,51,01.170,37.658289,-118.849007,6.157,204.4,291.5,165.7,0.09
2014,06,01,17,01,39.920,37.656287,-118.848747,6.284,227.3,69.2,292.6,1.24
2014,06,01,17,44,19.800,37.655839,-118.848706,6.276,231.6,19.3,285.2,-0.22
2014,06,01,18,28,38.180,37.657503,-118.849056,6.257,200.5,203.9,265.3,-0.11
2014,06,01,19,28,25.220,37.659652,-118.848055,6.438,289.0,442.6,446.4,-0.31
2014,06,01,19,29,52.040,37.659347,-118.848324,6.425,264.7,408.5,433.9,0.11
2014,06,01,20,05,43.200,37.659823,-118.848145,6.412,281.0,461.5,420.4,-0.39
2014,06,01,20,13,43.700,37.660543,-118.848153,6.504,279.9,541.3,513.1,-0.52
2014,06,01,21,04,38.880,37.660673,-118.848291,6.517,268.0,556.1,525.5,-0.03
2014,06,01,21,04,53.880,37.657491,-118.848942,6.031,210.1,202.9,39.4,-0.25
2014,06,01,21,05,25.560,37.657487,-118.848942,6.034,210.7,202.3,43.3,-0.02
2014,06,01,21,12,29.720,37.659526,-118.847925,6.448,300.3,428.8,456.6,0.83
2014,06,01,21,32,04.760,37.659847,-118.848307,6.357,266.5,464.2,365.9,-0.40
2014,06,01,21,38,40.440,37.659766,-118.848242,6.354,272.0,455.3,362.6,-0.40
2014,06,01,22,31,58.460,37.659819,-118.847941,6.473,298.6,461.1,482.2,-0.31
2014,06,01,22,59,40.040,37.659566,-118.847738,6.477,316.6,433.3,485.5,-0.18
2014,06,01,23,26,29.800,37.660738,-118.847925,6.471,299.9,563.1,479.4,-0.53
2014,06,02,00,33,40.330,37.659668,-118.848429,6.423,255.6,444.5,431.7,-0.03
2014,06,02,02,19,51.760,37.659310,-118.847607,6.517,328.2,404.8,525.7,-0.30
2014,06,02,02,20,55.370,37.659436,-118.847681,6.494,321.4,418.5,503.0,-0.43
2014,06,02,02,59,16.870,37.659285,-118.847510,6.536,336.9,401.8,545.0,-0.28
2014,06,02,04,46,41.460,37.656498,-118.848836,6.312,219.5,92.8,320.8,0.06
2014,06,02,05,14,33.470,37.658386,-118.848722,5.985,229.9,302.1,-6.3,1.05
2014,06,02,06,20,56.410,37.658590,-118.848698,5.976,232.3,324.7,-15.2,0.39
2014,06,02,06,24,00.380,37.658626,-118.848779,5.982,225.1,328.7,-9.1,-0.15
2014,06,02,07,01,39.720,37.657581,-118.848918,6.045,212.9,212.9,54.0,-0.58
2014,06,02,07,19,53.620,37.655786,-118.848698,6.288,231.8,13.6,297.2,0.81
