DateTime,Latitude,Longitude,Depth,Magnitude,MagType,NbStations,Gap,Distance,RMS,Source,EventID
1985/11/25 23:58:30.00,35.1960,-92.2880,9.00,1.70,ML,,,,,NM,
1985/11/26 02:30:24.33,35.2230,-92.3460,3.80,2.50,ML,,,,,NM,
1985/11/26 07:46:17.30,35.1400,-92.2500,10.00,2.00,ML,,,,,NM,
1985/12/01 07:56:47.90,35.1800,-92.2100,5.00,2.10,ML,,,,,NM,
1985/12/02 12:45:03.10,35.2500,-92.2700,10.00,1.90,ML,,,,,NM,
1985/12/04 21:22:59.03,35.1990,-92.2130,5.00,1.30,ML,,,,,NM,
1985/12/08 00:21:23.60,35.1960,-92.2630,7.90,1.90,ML,,,,,NM,
1985/12/12 05:14:47.70,35.1760,-92.2430,7.40,2.20,ML,,,,,NM,
1985/12/13 10:54:25.10,35.2700,-92.2900,4.00,2.10,ML,,,,,NM,
1985/12/13 10:57:39.51,35.1720,-92.2190,3.30,2.30,ML,,,,,NM,
1985/12/13 23:38:45.40,35.2100,-92.2600,10.00,2.10,ML,,,,,NM,
1985/12/14 07:15:38.70,35.2500,-92.2900,7.00,1.90,ML,,,,,NM,
1985/12/14 22:03:48.02,35.1530,-92.2430,8.40,2.20,ML,,,,,NM,
1985/12/24 02:30:02.89,35.1870,-92.2540,7.40,1.90,ML,,,,,NM,
1986/01/05 14:11:07.78,35.2230,-92.1970,3.00,2.10,ML,,,,,NM,
1986/01/23 10:39:49.82,35.2370,-92.2430,5.40,2.00,ML,,,,,NM,
1986/01/24 04:16:08.99,35.1920,-92.2430,5.00,1.70,ML,,,,,NM,
1986/02/04 11:50:47.66,35.1590,-92.2260,3.70,2.40,ML,,,,,NM,
1986/02/04 11:51:30.06,35.1950,-92.2430,5.00,2.40,ML,,,,,NM,
1986/02/05 13:34:46.88,35.1980,-92.3340,5.00,1.30,ML,,,,,NM,
1986/02/05 13:36:18.20,35.2590,-92.2730,5.70,2.50,ML,,,,,NM,
1986/02/19 17:14:30.93,35.1700,-92.2620,6.90,2.00,ML,,,,,NM,
1986/03/11 00:49:24.28,35.1970,-92.2190,5.00,2.00,ML,,,,,NM,
1986/03/23 14:38:46.28,35.1740,-92.2430,3.60,2.30,ML,,,,,NM,
1986/04/13 10:30:22.20,35.2300,-92.2700,3.20,1.60,ML,,,,,NM,
1986/04/28 19:23:03.46,35.2780,-92.4540,5.10,1.60,ML,,,,,NM,
1986/05/19 18:40:41.70,35.1780,-92.2540,7.30,2.30,ML,,,,,NM,
1986/05/24 07:26:17.25,35.1800,-92.2110,3.00,2.20,ML,,,,,NM,
1986/05/24 08:16:01.50,35.1180,-92.2170,3.50,3.10,ML,,,,,NM,
1986/07/27 05:59:32.92,35.1760,-92.2550,7.40,2.10,ML,,,,,NM,
1986/08/07 14:42:24.87,35.2030,-92.2600,9.00,2.20,ML,,,,,NM,
1986/08/26 18:59:06.49,35.1590,-92.2330,4.10,1.40,ML,,,,,NM,
1986/11/08 00:17:48.88,35.1660,-92.2850,6.00,1.60,ML,,,,,NM,
1987/02/23 01:17:01.24,35.2090,-92.2160,5.00,1.60,ML,,,,,NM,
1987/05/18 05:16:22.08,35.2280,-92.2030,3.00,2.30,ML,,,,,NM,
1987/05/20 00:02:12.64,35.1550,-92.2440,3.00,2.90,ML,,,,,NM,
1987/05/26 00:45:10.00,35.1390,-92.3140,4.90,1.60,ML,,,,,NM,
1987/06/15 04:49:49.72,35.2290,-92.3060,4.70,2.10,ML,,,,,NM,
1987/06/15 05:09:37.12,35.1710,-92.2490,3.00,2.00,ML,,,,,NM,
1987/07/08 07:01:58.48,35.1900,-92.2000,2.60,2.60,ML,,,,,NM,
1987/08/17 21:50:02.61,35.2220,-92.2240,1.90,2.00,ML,,,,,NM,
1987/08/21 19:48:41.06,35.2150,-92.2410,8.30,2.30,ML,,,,,NM,
1987/09/21 14:55:51.58,35.1950,-92.2580,7.20,1.20,ML,,,,,NM,
1987/12/20 01:01:04.77,35.1880,-92.2250,5.80,2.00,ML,,,,,NM,
1988/01/02 12:12:34.49,35.1970,-92.2170,5.50,2.20,ML,,,,,NM,
1988/03/22 11:59:46.92,35.2000,-92.2040,1.10,1.40,ML,,,,,NM,
1988/04/09 09:55:47.15,35.1890,-92.2220,5.20,2.00,ML,,,,,NM,
1988/04/20 11:13:35.16,35.1840,-92.2220,4.00,1.90,ML,,,,,NM,
1988/04/20 11:17:49.11,35.1940,-92.2260,6.10,1.70,ML,,,,,NM,
1988/04/20 21:18:41.80,35.1960,-92.2070,1.80,2.00,ML,,,,,NM,
1988/04/21 05:58:43.54,35.1930,-92.2130,1.30,1.00,ML,,,,,NM,
1989/04/01 15:05:03.80,35.1820,-92.2290,4.50,2.10,ML,,,,,NM,
1989/04/06 10:48:31.08,35.1820,-92.2060,1.90,2.20,ML,,,,,NM,
1989/04/06 15:46:04.14,35.2250,-92.2880,4.70,1.50,ML,,,,,NM,
1990/08/17 14:07:31.43,35.1840,-92.2370,1.60,1.90,ML,,,,,NM,
1990/08/24 02:42:22.14,35.1790,-92.2110,3.70,2.60,ML,,,,,NM,
1990/09/08 23:01:13.15,35.1920,-92.1930,1.60,2.00,ML,,,,,NM,
1990/09/16 21:14:13.19,35.5370,-92.2750,2.30,2.80,ML,,,,,NM,
1990/10/02 08:54:27.03,35.2510,-92.2150,2.50,2.40,ML,,,,,NM,
1990/10/20 14:10:40.44,35.1740,-92.2190,4.90,1.80,ML,,,,,NM,
1990/12/10 14:34:31.52,35.1730,-92.2150,4.40,1.90,ML,,,,,NM,
1992/03/07 18:52:19.90,35.2350,-92.1520,4.10,1.80,ML,,,,,NM,
2001/05/04 06:42:13.48,35.1970,-92.2142,9.02,4.30,Md,32,178,48,0.18,NM,
2001/05/04 08:31:43.13,35.2502,-92.2315,0.06,2.70,Md,30,187,54,0.16,NM,
2001/05/04 18:15:23.85,35.2297,-92.2342,6.93,3.10,Md,12,189,51,0.06,NM,
2001/05/05 07:38:44.24,35.2105,-92.2338,6.55,2.70,Md,21,187,49,0.36,NM,
2001/05/22 07:28:26.94,35.0993,-92.2097,15.47,2.20,Md,18,177,38,0.39,NM,
2001/05/22 08:08:58.70,35.0582,-92.2008,17.20,2.50,Md,9,175,34,0.38,NM,
2003/12/14 10:16:41.01,35.1902,-92.2198,5.00,2.80,Md,17,185,47,0.28,NM,
2003/12/15 05:57:17.72,35.1710,-92.2097,5.00,2.70,Md,15,184,45,0.53,NM,
2005/01/27 17:52:55.47,35.2033,-92.2212,4.02,2.70,Md,15,171,49,0.21,NM,
2006/04/09 14:41:28.95,35.2408,-92.2423,8.23,2.80,Md,13,193,48,0.10,NM,
2006/10/17 05:18:03.89,35.2260,-92.2802,5.00,2.80,Md,24,190,50,0.24,NM,
2008/09/24 15:20:01.85,35.4390,-92.2605,0.06,2.50,Md,17,177,54,0.34,NM,
2008/12/03 19:21:50.59,35.4210,-92.3703,0.00,2.50,Md,10,180,72,0.37,NM,
