YYYY,MM,DD,hh,mm,ss.ss,Lat(deg),Long(deg),depth(km)
2014,02,03,10,21,28.23,37.631026,-119.023560,4.725
2014,02,03,10,21,36.22,37.630420,-119.023706,4.835
2014,02,03,10,21,43.56,37.630786,-119.023958,4.809
2014,02,03,10,21,51.52,37.630733,-119.023910,4.796
2014,02,03,10,21,59.55,37.631112,-119.023698,4.799
2014,02,03,10,27,22.63,37.630123,-119.024650,4.755
2014,02,03,10,41,25.62,37.631722,-119.021956,4.784
2014,02,03,11,16,33.25,37.630216,-119.024048,4.825
2014,02,03,11,38,12.48,37.630721,-119.022054,4.880
2014,02,03,11,52,35.56,37.632670,-119.019165,4.818
2014,02,03,11,57,32.78,37.632202,-119.025090,4.783
2014,02,03,11,58,30.80,37.632137,-119.024951,4.798
2014,02,03,11,59,28.05,37.632536,-119.023625,4.826
2014,02,03,11,59,33.54,37.631986,-119.024764,4.785
2014,02,03,11,59,54.02,37.632560,-119.026188,4.728
2014,02,03,12,00,17.42,37.631807,-119.025285,4.823
2014,02,03,12,01,04.43,37.631449,-119.024772,4.743
2014,02,03,12,01,33.24,37.633073,-119.023193,4.747
2014,02,03,12,01,40.61,37.631014,-119.023299,4.774
2014,02,03,12,02,03.11,37.632422,-119.023617,4.832
2014,02,03,12,02,11.95,37.632357,-119.023470,4.861
2014,02,03,12,02,17.14,37.632528,-119.023372,4.811
2014,02,03,12,02,30.06,37.632520,-119.023291,4.824
2014,02,03,12,02,54.86,37.631913,-119.024211,4.766
2014,02,03,12,03,06.00,37.632454,-119.023486,4.885
2014,02,03,12,04,07.21,37.631335,-119.022762,4.780
2014,02,03,12,04,18.42,37.630603,-119.023991,4.967
2014,02,03,12,04,59.54,37.630770,-119.023535,4.790
2014,02,03,12,08,00.46,37.631779,-119.022380,5.222
2014,02,03,12,09,49.42,37.631795,-119.024414,4.797
2014,02,03,12,15,31.60,37.633382,-119.023006,4.627
2014,02,03,12,18,00.12,37.633484,-119.022119,4.694
2014,02,03,12,18,33.43,37.633403,-119.021785,4.690
2014,02,03,12,19,35.25,37.633073,-119.022624,4.826
2014,02,03,12,19,43.31,37.633061,-119.022664,4.799
2014,02,03,12,20,32.94,37.632410,-119.022909,4.854
2014,02,03,12,30,29.28,37.632829,-119.023234,4.741
2014,02,03,12,31,00.22,37.632593,-119.023283,4.765
2014,02,03,12,31,29.47,37.633012,-119.022957,4.767
2014,02,03,12,38,18.51,37.631925,-119.019637,4.909
2014,02,03,12,38,41.97,37.632235,-119.023299,4.746
2014,02,03,12,38,58.60,37.632841,-119.028857,4.447
2014,02,03,12,39,36.37,37.632345,-119.028548,4.567
2014,02,03,12,39,51.19,37.632625,-119.023128,4.702
2014,02,03,12,41,54.74,37.632837,-119.028752,4.499
2014,02,03,12,44,58.00,37.632572,-119.024487,4.621
2014,02,03,12,50,28.54,37.633354,-119.022363,4.713
2014,02,03,12,51,23.49,37.633516,-119.022119,4.672
2014,02,03,12,57,41.45,37.632255,-119.021729,4.900
2014,02,03,13,28,57.52,37.633870,-119.021777,4.807
2014,02,03,14,17,37.53,37.632499,-119.021834,4.878
2014,02,03,14,33,09.00,37.631258,-119.020028,4.874
2014,02,03,15,44,39.28,37.631388,-119.023055,4.772
2014,02,03,15,45,22.32,37.630269,-119.022412,4.932
2014,02,03,16,20,18.41,37.631632,-119.021436,4.955
2014,02,03,17,57,52.28,37.631681,-119.022827,4.960
2014,02,03,18,05,05.00,37.632756,-119.019621,4.872
2014,02,03,18,32,07.00,37.631278,-119.020296,4.868
2014,02,03,18,52,44.36,37.631694,-119.021216,4.971
2014,02,03,18,57,19.56,37.631055,-119.021696,4.912
2014,02,03,19,10,36.18,37.629789,-119.022469,5.012
2014,02,03,19,35,50.36,37.632979,-119.022469,4.837
2014,02,03,20,21,02.00,37.630705,-119.021663,4.933
2014,02,03,20,36,06.00,37.632402,-119.022526,4.871
2014,02,03,20,45,04.00,37.634123,-119.020199,4.793
2014,02,03,21,09,59.46,37.631026,-119.019499,4.898
2014,02,03,21,34,28.52,37.632129,-119.021590,4.887
2014,02,03,22,01,26.32,37.631193,-119.020483,4.844
2014,02,03,22,02,28.50,37.631283,-119.021712,4.879
2014,02,03,22,02,47.32,37.631331,-119.022201,4.914
2014,02,03,22,03,45.56,37.631641,-119.019515,4.814
2014,02,03,22,30,47.48,37.632023,-119.021883,4.898
2014,02,03,22,44,29.48,37.630387,-119.022038,4.879
2014,02,03,22,45,25.44,37.630981,-119.020133,4.871
2014,02,03,23,09,37.20,37.630184,-119.020532,4.908
2014,02,03,23,24,45.44,37.631498,-119.020011,4.846
2014,02,03,23,25,10.24,37.632585,-119.020109,4.915
2014,02,03,23,56,04.00,37.632438,-119.020638,4.876
2014,02,04,00,01,09.00,37.630465,-119.022371,4.923
2014,02,04,01,04,53.07,37.631108,-119.024601,4.957
2014,02,04,01,05,29.27,37.630090,-119.025285,4.788
2014,02,04,01,05,32.22,37.629907,-119.025122,4.917
2014,02,04,01,05,54.25,37.630387,-119.024740,4.769
2014,02,04,01,06,09.10,37.632491,-119.022843,4.865
2014,02,04,01,06,23.89,37.630570,-119.024658,4.844
2014,02,04,01,06,54.20,37.630379,-119.025114,4.767
2014,02,04,01,07,10.34,37.630282,-119.025000,4.809
2014,02,04,01,07,23.75,37.630298,-119.023820,4.856
